2,27.50,4863.27
3,47.19,4763.21
4,90.82,4587.22
5,141.16,4397.90
6,180.85,4279.57
7,253.37,4094.38
8,325.94,3929.75
9,392.08,3797.93
10,490.06,3615.25
11,581.45,3463.66
12,674.08,3322.99
13,793.08,3146.04
14,900.90,3004.39
15,1017.56,2857.30
16,1153.69,2687.85
17,1276.50,2553.43
18,1414.85,2402.55
19,1564.65,2243.17
20,1701.61,2115.39
21,1859.11,1962.81
22,2019.66,1815.28
23,2169.65,1695.12
24,2346.11,1542.48
25,2513.76,1410.79
26,2677.17,1298.51
27,2870.91,1148.51
28,3043.35,1037.16
29,3222.56,932.60
30,3433.31,786.38
31,3604.98,703.06
32,3804.72,605.12
33,4028.31,466.41
34,4195.53,416.98
35,4427.53,321.93
36,4653.99,196.36
37,4808.02,178.70
39,²ã
2513.10,2509.95
2183.19,2154.22
2,27.32,4928.74
3,46.53,4776.78
4,84.23,4562.03
5,138.62,4454.71
6,175.91,4295.09
7,237.33,4105.52
8,316.35,3984.80
9,377.82,3825.40
10,461.80,3646.90
11,562.22,3521.24
12,646.50,3362.11
13,751.66,3193.38
14,870.14,3065.95
15,973.73,2909.45
16,1097.58,2747.58
17,1231.37,2621.57
18,1351.21,2469.38
19,1490.94,2313.26
20,1639.46,2191.64
21,1772.48,2043.28
22,1927.99,1893.19
23,2089.30,1778.03
24,2233.65,1634.29
25,2404.16,1491.27
26,2577.75,1387.11
27,2731.16,1249.00
28,2916.22,1113.34
29,3102.21,1025.02
30,3262.66,892.66
31,3465.81,767.07
32,3661.67,700.17
33,3824.14,574.90
34,4049.86,459.45
35,4253.86,420.52
36,4410.55,302.06
37,4669.76,198.66
38,4874.05,182.69
40,²ã
2545.60,2541.74
2081.96,2256.07
2,27.16,4957.02
3,46.12,4718.62
4,78.62,4616.32
5,135.31,4482.08
6,173.30,4278.76
7,223.67,4151.09
8,304.08,4020.86
9,369.30,3834.66
10,437.83,3694.79
11,537.40,3568.33
12,627.59,3393.55
13,714.48,3247.48
14,829.49,3123.11
15,941.54,2958.87
16,1045.06,2809.34
17,1174.08,2687.30
18,1304.20,2532.04
19,1423.08,2381.57
20,1564.29,2263.08
21,1710.83,2117.90
22,1842.54,1967.40
23,1994.65,1854.07
24,2157.08,1719.96
25,2299.53,1570.19
26,2460.89,1463.99
27,2639.05,1343.44
28,2791.61,1195.98
29,2959.97,1098.06
30,3155.72,997.15
31,3316.72,851.16
32,3488.36,761.60
33,3703.71,687.45
34,3874.54,545.04
35,4043.21,461.07
36,4284.11,421.18
37,4465.08,283.71
38,4617.29,201.84
39,4903.45,186.72
41,²ã
2562.47,2561.66
2181.11,2153.25
2,27.00,4864.22
3,45.74,4772.11
4,73.51,4658.24
5,130.60,4454.86
6,171.37,4309.76
7,213.08,4201.76
8,287.80,4029.41
9,360.97,3863.35
10,421.10,3750.12
11,507.26,3601.81
12,607.23,3428.76
13,689.80,3304.63
14,785.92,3173.24
15,905.13,3005.04
16,1010.08,2870.46
17,1116.41,2750.02
18,1249.33,2591.68
19,1375.83,2447.08
20,1492.31,2333.72
21,1634.76,2190.21
22,1780.88,2038.73
23,1908.93,1928.67
24,2056.57,1803.22
25,2220.90,1650.79
26,2363.05,1538.42
27,2513.43,1433.32
28,2693.19,1286.70
29,2851.36,1168.59
30,3001.83,1085.17
31,3193.49,955.39
32,3373.43,826.85
33,3523.73,761.50
34,3719.14,664.42
35,3925.67,522.84
36,4078.51,465.90
37,4263.14,417.72
38,4507.49,266.99
39,4671.65,205.46
40,4813.54,190.76
42,²ã
2501.63,2501.97
2074.24,2250.33
2,26.85,4923.50
3,45.44,4820.59
4,69.60,4627.89
5,125.08,4461.21
6,169.58,4363.94
7,206.39,4218.11
8,270.81,4030.75
9,350.49,3911.17
10,411.07,3791.87
11,481.11,3619.73
12,580.59,3470.73
13,671.64,3360.25
14,753.19,3213.19
15,860.10,3049.68
16,977.60,2930.03
17,1077.22,2806.47
18,1188.52,2646.91
19,1322.34,2510.63
20,1445.23,2400.57
21,1560.93,2257.74
22,1703.41,2108.00
23,1848.52,1998.60
24,1974.93,1880.76
25,2117.31,1729.75
26,2282.07,1609.50
27,2426.12,1513.43
28,2566.11,1378.43
29,2740.30,1242.49
30,2909.79,1157.13
31,3052.00,1055.96
32,3223.27,912.24
33,3419.81,818.69
34,3575.78,755.96
35,3731.55,632.04
36,3948.22,511.32
37,4134.03,471.34
38,4276.50,408.07
39,4483.79,253.63
40,4720.26,209.25
41,4872.83,194.81
43,²ã
2534.96,2534.30
2168.63,2142.18
2,26.73,4972.39
3,45.16,4798.14
4,66.84,4607.34
5,118.29,4516.45
6,167.15,4394.86
7,202.72,4203.51
8,255.39,4063.87
9,335.97,3962.26
10,402.92,3814.07
11,462.90,3642.24
12,549.64,3523.31
13,649.61,3407.46
14,732.01,3246.82
15,818.95,3098.18
16,933.71,2989.55
17,1046.05,2858.74
18,1143.33,2699.09
19,1258.62,2571.90
20,1392.72,2465.34
21,1511.95,2323.21
22,1626.96,2174.43
23,1768.06,2066.19
24,1913.93,1954.80
25,2038.81,1806.86
26,2174.86,1679.54
27,2338.34,1587.13
28,2487.74,1467.31
29,2620.54,1322.29
30,2783.17,1223.46
31,2961.42,1141.90
32,3107.87,1011.37
33,3254.44,883.10
34,3448.45,818.24
35,3629.05,741.14
36,3769.03,599.74
37,3942.49,509.36
38,4167.09,476.10
39,4332.23,393.92
40,4468.50,245.37
41,4700.58,213.12
42,4922.25,198.88
44,²ã
2559.92,2558.61
2101.21,2230.41
2,26.57,4967.05
3,44.87,4747.84
4,64.88,4662.18
5,110.76,4558.36
6,163.96,4378.43
7,200.24,4213.99
8,243.12,4117.33
9,317.71,3997.17
10,393.31,3822.17
11,451.25,3678.93
12,521.26,3577.87
13,619.99,3445.84
14,712.69,3279.60
15,791.11,3150.73
16,887.00,3046.45
17,1005.02,2907.10
18,1111.42,2750.64
19,1207.90,2633.26
20,1326.36,2527.53
21,1460.43,2384.89
22,1577.02,2238.63
23,1690.33,2132.35
24,1830.38,2026.40
25,1976.80,1882.59
26,2101.25,1748.43
27,2230.52,1656.01
28,2390.46,1550.44
29,2545.80,1406.49
30,2676.39,1289.60
31,2823.40,1213.35
32,3003.53,1109.05
33,3162.94,967.24
34,3297.85,872.84
35,3465.36,816.35
36,3665.05,713.47
37,3823.37,575.03
38,3959.92,512.32
39,4157.16,479.00
40,4373.77,374.57
41,4523.84,241.25
42,4654.70,217.04
43,4917.88,202.92
45,²ã
2568.48,2565.66
2190.14,2164.77
2,26.42,4880.94
3,44.58,4803.33
4,63.59,4709.83
5,103.15,4551.80
6,159.99,4361.86
7,198.43,4261.90
8,235.44,4162.66
9,299.15,4005.37
10,379.90,3836.52
11,443.02,3729.48
12,501.96,3625.03
13,587.86,3471.46
14,688.12,3314.72
15,772.17,3205.36
16,851.34,3098.55
17,956.85,2949.37
18,1074.42,2799.75
19,1174.77,2693.30
20,1271.57,2587.51
21,1394.41,2442.26
22,1527.24,2298.93
23,1640.49,2196.73
24,1752.24,2094.53
25,1890.95,1953.16
26,2037.51,1816.82
27,2162.44,1722.15
28,2285.05,1627.65
29,2439.87,1490.87
30,2600.15,1359.64
31,2733.67,1277.44
32,2865.59,1194.15
33,3036.97,1061.83
34,3212.15,936.96
35,3350.26,872.29
36,3489.01,806.82
37,3679.91,679.70
38,3869.91,560.53
39,4009.55,517.74
40,4149.33,478.88
41,4370.33,352.95
42,4571.00,240.29
43,4711.21,220.94
44,4834.46,207.00
46,²ã
2508.21,2506.41
2127.80,2252.17
2,26.33,4940.81
3,44.35,4851.84
4,62.81,4713.06
5,97.08,4507.41
6,154.71,4399.83
7,196.46,4311.99
8,231.17,4179.13
9,283.46,3998.46
10,363.44,3872.53
11,434.39,3780.33
12,490.79,3655.98
13,559.90,3489.84
14,657.25,3355.39
15,752.23,3259.52
16,829.67,3143.12
17,914.21,2987.73
18,1026.22,2848.95
19,1141.05,2751.47
20,1237.03,2643.20
21,1334.84,2496.86
22,1459.55,2356.67
23,1591.67,2259.09
24,1703.18,2160.32
25,1812.43,2023.71
26,1948.13,1882.72
27,2096.36,1785.81
28,2222.85,1699.01
29,2340.31,1572.52
30,2486.09,1432.73
31,2650.19,1338.64
32,2790.55,1266.47
33,2914.15,1156.39
34,3066.75,1015.70
35,3249.79,925.21
36,3404.13,872.20
37,3531.04,786.47
38,3685.63,644.90
39,3891.83,555.94
40,4060.97,523.55
41,4190.50,474.21
42,4336.76,331.31
43,4578.19,241.12
44,4760.19,224.90
45,4894.93,211.06
47,²ã
2539.19,2535.55
2214.06,2189.57
2,26.20,4989.54
3,44.11,4869.91
4,62.20,4650.75
5,91.07,4534.23
6,148.06,4453.23
7,194.06,4342.38
8,228.46,4167.02
9,271.33,4015.16
10,343.95,3923.27
11,422.32,3823.00
12,482.50,3672.97
13,540.71,3513.20
14,623.80,3404.32
15,724.74,3310.59
16,811.38,3180.73
17,886.91,3023.63
18,978.88,2899.89
19,1094.66,2808.18
20,1205.05,2695.64
21,1297.76,2548.88
22,1397.14,2413.33
23,1523.71,2318.64
24,1654.74,2223.19
25,1765.02,2089.02
26,1871.41,1947.40
27,2003.77,1846.98
28,2153.10,1765.39
29,2282.05,1651.01
30,2395.65,1508.47
31,2530.41,1400.20
32,2694.36,1329.79
33,2844.42,1241.52
34,2966.82,1107.00
35,3099.30,986.44
36,3274.58,924.18
37,3449.03,865.69
38,3583.69,753.64
39,3709.87,619.37
